"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SI","2023-04-22","96.4","0.42","6.28","Valdez, Framber",607680,664285,"field_out","hit_into_play",,,,,3,"Kevin Pillar grounds out, second baseman Mauricio Dubon to first baseman Jose Abreu.","R","R","L","ATL","HOU","X",4,"ground_ball",0,0,2023,"1.17","0.76","0.45","2.82",,645277,687093,2,4,"Bot",125.46,145.55,,,455117,,,-2.5860525490185107,-140.2280790695989,-5.292247934385489,16.04510213561906,33.65895522523879,-21.103451074500555,"3.3","1.6",46,"107",-1,"95.4",2413,"5.9",718471,664285,455117,547989,643289,608324,665161,667452,676694,663656,"54.63",0.489,0.443,"0",1,0,0,4,32,1,"Sinker",1,0,1,0,0,1,1,0,"Standard","Standard",152,"-0.041","-0.487"
"SI","2023-04-22","95.8","0.43","6.33","Valdez, Framber",687093,664285,"single","hit_into_play",,,,,6,"Vaughn Grissom singles on a ground ball to center fielder Jake Meyers.   Ozzie Albies to 2nd.","R","R","L","ATL","HOU","X",8,"ground_ball",0,0,2023,"1.25","0.79","0.29","2.77",,,645277,2,4,"Bot",127.05,99.28,,,455117,,,-3.1619058216433733,-139.5333524333018,-5.599028811137533,17.069989767893798,30.39841178776802,-20.806061244499904,"3.39","1.64",154,"99.1",7,"95.7",2269,"6.1",718471,664285,455117,547989,643289,608324,665161,667452,676694,663656,"54.41",0.589,0.532,"0.9",1,1,0,4,31,1,"Sinker",1,0,1,0,0,1,1,0,"Standard","Standard",150,"0.019","0.299"
"SI","2023-04-22","96.9","0.58","6.26","Valdez, Framber",645277,664285,"single","hit_into_play",,,,,13,"Ozzie Albies singles on a ground ball to center fielder Jake Meyers.","R","R","L","ATL","HOU","X",8,"ground_ball",0,0,2023,"1.19","0.81","-0.29","1.3",,,,2,4,"Bot",109.57,96.23,,,455117,,,-5.008978940632304,-140.86527298322872,-9.478437304520826,17.000299492688647,31.735882428307868,-19.40849629230505,"3.24","1.61",22,"104.8",-2,"96.3",2212,"6",718471,664285,455117,547989,643289,608324,665161,667452,676694,663656,"54.54",0.42,0.378,"0.9",1,1,0,4,30,1,"Sinker",1,0,1,0,0,1,1,0,"Standard","Standard",145,"0.011","0.129"
"SI","2023-04-22","96.9","0.63","6.38","Valdez, Framber",663586,664285,,"ball",,,,,12,"Austin Riley flies out to center fielder Jake Meyers.","R","R","L","ATL","HOU","B",,,0,0,2023,"1.23","0.72","1","3.9",,,,1,4,"Bot",,,,,455117,,,-1.8226082253437572,-141.08800161165695,-2.7036649573668043,16.81468019380033,33.966427301867284,-22.227781037279193,"3.51","1.69",,,,"0",2205,,718471,664285,455117,547989,643289,608324,665161,667452,676694,663656,"54.13",,,,,,,,28,1,"Sinker",0,0,0,0,0,0,0,0,,,151,"0","0.033"
"FC","2023-04-22","86.2","0.62","6.25","Valdez, Framber",621566,664285,"strikeout","swinging_strike_blocked",,,,,13,"Matt Olson strikes out swinging.","R","L","L","ATL","HOU","S",2,,1,2,2023,"-0.46","-0.42","-1.63","0.11",,,,0,4,"Bot",,,,,455117,,,-4.390117301108658,-125.39796610763698,-7.4981066116907344,-4.0304041612795976,23.66928245606698,-35.344808601628564,"3.44","1.65",,,,"85.8",2760,"5.9",718471,664285,455117,547989,643289,608324,665161,667452,676694,663656,"54.59",,,"0",1,0,0,,27,4,"Cutter",0,0,0,0,0,0,0,0,,,326,"-0.027","-0.171"
"FC","2023-04-22","85.5","0.51","6.22","Valdez, Framber",621566,664285,,"ball",,,,,13,"Matt Olson strikes out swinging.","R","L","L","ATL","HOU","B",,,0,2,2023,"-0.4","-0.21","-0.76","0.67",,,,0,4,"Bot",,,,,455117,,,-2.1877182258591508,-124.51206292111638,-6.406420234833665,-3.7087521754809725,23.926834171802028,-33.302565664858214,"3.44","1.65",,,,"85.4",2676,"6.1",718471,664285,455117,547989,643289,608324,665161,667452,676694,663656,"54.43",,,,,,,,27,3,"Cutter",0,0,0,0,0,0,0,0,,,313,"0","0.031"
"SI","2023-04-22","96.5","0.52","6.3","Valdez, Framber",621566,664285,,"swinging_strike",,,,,8,"Matt Olson strikes out swinging.","R","L","L","ATL","HOU","S",,,0,1,2023,"1.32","0.75","0.07","1.91",,,,0,4,"Bot",,,,,455117,,,-4.15415352871502,-140.32578190407403,-7.74264737001125,18.44010799896052,31.113348774713305,-20.753383948520053,"3.44","1.65",,,,"95.7",2271,"5.8",718471,664285,455117,547989,643289,608324,665161,667452,676694,663656,"54.69",,,,,,,,27,2,"Sinker",0,0,0,0,0,0,0,0,,,147,"0","-0.058"
"FC","2023-04-22","83.3","0.76","6.24","Valdez, Framber",621566,664285,,"foul",,,,,6,"Matt Olson strikes out swinging.","R","L","L","ATL","HOU","S",,,0,0,2023,"-0.4","-0.51","0.73","2.29",,,,0,4,"Bot",,,,,455117,,,0.6949644838197888,-121.44189804653757,-1.6857032302829966,-4.135771112844561,21.936523352178888,-37.165510625709544,"3.44","1.65",162,"62.5",52,"82.8",2635,"5.7",718471,664285,455117,547989,643289,608324,665161,667452,676694,663656,"54.81",,,,,,,,27,1,"Cutter",0,0,0,0,0,0,0,0,,,300,"0","-0.04"
"SI","2023-04-22","96.1","0.51","6.28","Valdez, Framber",660670,664285,"field_out","hit_into_play",,,,,4,"Ronald Acuna Jr.  grounds out, shortstop Jeremy Pena to first baseman Jose Abreu.","R","R","L","ATL","HOU","X",6,"ground_ball",0,0,2023,"1.28","0.56","-0.46","2.27",,,,2,3,"Bot",106.4,155.21,,,455117,,,-5.382280446596671,-139.79185818357232,-6.268540660637617,17.93716629063492,29.147550100717993,-23.6927912177462,"3.52","1.64",38,"114.8",-2,"95.3",2250,"5.7",718471,664285,455117,547989,643289,608324,665161,667452,676694,663656,"54.81",0.506,0.46,"0",1,0,0,4,23,1,"Sinker",0,0,0,0,0,0,0,0,,,146,"-0.012","-0.097"
"SI","2023-04-22","96.7","0.58","6.29","Valdez, Framber",642201,664285,"strikeout","foul_tip",,,,,5,"Eli White strikes out on a foul tip.","R","R","L","ATL","HOU","S",2,,3,2,2023,"1.24","0.81","0.27","2.31",,,,1,3,"Bot",,,,,455117,,,-3.6274583793029174,-140.8027027851273,-6.8843291673699,17.39943402611675,29.65043455280131,-20.136265187469125,"3.59","1.7",,,,"96.3",2291,"5.9",718471,664285,455117,547989,643289,608324,665161,667452,676694,663656,"54.65",,,"0",1,0,0,,22,7,"Sinker",0,0,0,0,0,0,0,0,,,146,"-0.017","-0.209"
"SI","2023-04-22","94.5","0.76","6.28","Valdez, Framber",642201,664285,,"foul",,,,,8,"Eli White strikes out on a foul tip.","R","R","L","ATL","HOU","S",,,3,2,2023,"1.41","0.74","0.15","2.22",,,,1,3,"Bot",,,,,455117,,,-4.680062321321647,-137.49745611086482,-6.471422061159637,18.920777933505462,31.732694349204138,-21.51700069036725,"3.59","1.7",199,"104.2",8,"93.7",2201,"5.9",718471,664285,455117,547989,643289,608324,665161,667452,676694,663656,"54.56",,,,,,,,22,6,"Sinker",0,0,0,0,0,0,0,0,,,138,"0","0"
"SI","2023-04-22","94.9","0.66","6.26","Valdez, Framber",642201,664285,,"called_strike",,,,,1,"Eli White strikes out on a foul tip.","R","R","L","ATL","HOU","S",,,1,0,2023,"0.99","0.46","-0.47","3.16",,,,1,3,"Bot",,,,,455117,,,-5.152016238551702,-137.934906607662,-3.3824322072438795,13.863720442415602,35.25055349309974,-25.704564807019647,"3.59","1.7",,,,"93.7",2231,"6",718471,664285,455117,547989,643289,608324,665161,667452,676694,663656,"54.53",,,,,,,,22,2,"Sinker",0,0,0,0,0,0,0,0,,,149,"0","-0.041"
"SI","2023-04-22","95.2","0.86","6.29","Valdez, Framber",642201,664285,,"ball",,,,,3,"Eli White strikes out on a foul tip.","R","R","L","ATL","HOU","B",,,0,0,2023,"1.36","0.61","0.73","3.5",,,,1,3,"Bot",,,,,455117,,,-3.379089993922213,-138.46912786939927,-2.9544353809509802,18.116784300481743,35.911137887229074,-23.94989568817432,"3.59","1.7",,,,"94.2",2212,"6.1",718471,664285,455117,547989,643289,608324,665161,667452,676694,663656,"54.4",,,,,,,,22,1,"Sinker",0,0,0,0,0,0,0,0,,,145,"0","0.033"
"SI","2023-04-22","94.7","0.63","6.35","Valdez, Framber",542303,664285,"field_out","hit_into_play",,,,,2,"Marcell Ozuna grounds out, shortstop Jeremy Pena to first baseman Jose Abreu.","R","R","L","ATL","HOU","X",6,"ground_ball",0,1,2023,"1.32","0.75","0.13","2.98",,,,0,3,"Bot",109.04,155.21,,,455117,,,-4.183392574648865,-137.85577483840365,-4.75941727821474,17.700487293104054,31.698629841265177,-21.70989011094877,"3.5","1.74",10,"102",-17,"93.5",2260,"5.6",718471,664285,455117,547989,643289,608324,665161,667452,676694,663656,"54.86",0.186,0.188,"0",1,0,0,2,21,2,"Sinker",0,0,0,0,0,0,0,0,,,148,"-0.025","-0.198"
"SI","2023-04-22","95.4","0.71","6.48","Valdez, Framber",607680,664285,,"foul",,,,,12,"Kevin Pillar called out on strikes.","R","R","L","ATL","HOU","S",,,0,1,2023,"1.13","0.87","0.11","3.79",,,,2,2,"Bot",,,,,455117,,,-4.04423410376578,-138.97180473309768,-3.435145022012408,15.533470290000976,29.30156584645775,-20.263209557438422,"3.3","1.6",184,"85.9",67,"94.7",2193,"5.7",718471,664285,455117,547989,643289,608324,665161,667452,676694,663656,"54.79",,,,,,,,16,2,"Sinker",0,0,0,0,0,0,0,0,,,142,"0","-0.024"
"SI","2023-04-22","94.5","0.78","6.36","Valdez, Framber",687093,664285,"field_out","hit_into_play",,,,,8,"Vaughn Grissom grounds out, shortstop Jeremy Pena to first baseman Jose Abreu.","R","R","L","ATL","HOU","X",6,"ground_ball",1,1,2023,"1.41","0.79","-0.08","1.77",,,,1,2,"Bot",105.87,153.69,,,455117,,,-5.327306879378756,-137.4350769238113,-8.010662345486919,19.02479777319328,28.841940455075008,-20.64258690578281,"3.39","1.64",48,"70.9",3,"94.1",2274,"5.9",718471,664285,455117,547989,643289,608324,665161,667452,676694,663656,"54.56",0.137,0.133,"0",1,0,0,2,15,3,"Sinker",0,0,0,0,0,0,0,0,,,147,"-0.016","-0.165"
"SI","2023-04-22","95.5","0.51","6.42","Valdez, Framber",687093,664285,,"ball",,,,,12,"Vaughn Grissom grounds out, shortstop Jeremy Pena to first baseman Jose Abreu.","R","R","L","ATL","HOU","B",,,0,1,2023,"0.94","0.92","0.61","4.08",,,,1,2,"Bot",,,,,455117,,,-1.8092888802848597,-139.20901601406882,-2.6255076618828284,12.642095919419427,29.38177813864035,-19.785842450088996,"3.39","1.64",,,,"94.6",2199,"5.5",718471,664285,455117,547989,643289,608324,665161,667452,676694,663656,"54.99",,,,,,,,15,2,"Sinker",0,0,0,0,0,0,0,0,,,137,"0","0.022"
"SI","2023-04-22","95.8","0.85","6.37","Valdez, Framber",687093,664285,,"foul",,,,,5,"Vaughn Grissom grounds out, shortstop Jeremy Pena to first baseman Jose Abreu.","R","R","L","ATL","HOU","S",,,0,0,2023,"1.26","0.7","-0.14","2.68",,,,1,2,"Bot",,,,,455117,,,-5.377455211773781,-139.41295518568572,-5.657634528765559,17.678586514416345,29.997008791373847,-22.037105162948208,"3.39","1.64",166,"84.9",14,"94.7",2267,"5.6",718471,664285,455117,547989,643289,608324,665161,667452,676694,663656,"54.93",,,,,,,,15,1,"Sinker",0,0,0,0,0,0,0,0,,,147,"0","-0.031"
"SI","2023-04-22","95.4","0.54","6.38","Valdez, Framber",645277,664285,"field_out","hit_into_play",,,,,1,"Ozzie Albies lines out to shortstop Jeremy Pena.","R","R","L","ATL","HOU","X",6,"line_drive",1,0,2023,"0.95","0.83","-0.29","3.16",,,,0,2,"Bot",104.74,144.01,,,455117,,,-4.2595621190085335,-138.9073965387429,-4.673703519808798,13.290283625397144,31.440883123644568,-20.54943495660972,"3.24","1.61",152,"89.3",11,"94.3",2251,"5.7",718471,664285,455117,547989,643289,608324,665161,667452,676694,663656,"54.85",0.626,0.578,"0",1,0,0,4,14,2,"Sinker",0,0,0,0,0,0,0,0,,,148,"-0.023","-0.282"
