"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"FC","2023-04-22","87.3","0.59","6.2","Valdez, Framber",621566,664285,"strikeout","swinging_strike",,,,,13,"Matt Olson strikes out swinging.","R","L","L","ATL","HOU","S",2,,1,2,2023,"-0.19","-0.09","-0.82","1.1",,660670,,2,7,"Bot",,,,,455117,,,-2.9676002111633384,-127.07758521744762,-5.92524086561882,-1.4616481828955845,24.68900684311774,-32.24361936810375,"3.44","1.65",,,,"86.8",2794,"5.8",718471,664285,455117,547989,643289,608324,665161,667452,676694,663656,"54.68",,,"0",1,0,0,,59,4,"Cutter",3,4,3,4,4,3,3,4,"Standard","Standard",310,"-0.075","-0.204"
"FC","2023-04-22","86.9","0.4","6.28","Valdez, Framber",621566,664285,,"blocked_ball",,,,,13,"Matt Olson strikes out swinging.","R","L","L","ATL","HOU","B",,,0,2,2023,"-0.13","0.12","-2.25","0.13",,,660670,2,7,"Bot",,,,,455117,,,-6.037315220082053,-126.23673465681205,-8.694109163950063,-0.139722063479376,27.136539161952342,-29.227508712236162,"3.44","1.65",,,,"86.2",2570,"6",718471,664285,455117,547989,643289,608324,665161,667452,676694,663656,"54.45",,,,,,,,59,3,"Cutter",3,4,3,4,4,3,3,4,"Strategic","Standard",318,"0.023","0.009"
"SI","2023-04-22","96.9","0.31","6.28","Valdez, Framber",621566,664285,,"called_strike",,,,,5,"Matt Olson strikes out swinging.","R","L","L","ATL","HOU","S",,,0,1,2023,"1.17","0.72","-0.03","2.6",,,660670,2,7,"Bot",,,,,455117,,,-3.5383879076952924,-140.9969939992335,-5.869788172920129,16.328758953203746,34.24353059088353,-21.42466598215185,"3.44","1.65",,,,"96.3",2207,"6.1",718471,664285,455117,547989,643289,608324,665161,667452,676694,663656,"54.37",,,,,,,,59,2,"Sinker",3,4,3,4,4,3,3,4,"Standard","Standard",147,"0","-0.038"
"FC","2023-04-22","85.4","0.63","6.12","Valdez, Framber",621566,664285,,"foul",,,,,8,"Matt Olson strikes out swinging.","R","L","L","ATL","HOU","S",,,0,0,2023,"-0.32","-0.16","-0.02","1.95",,,660670,2,7,"Bot",,,,,455117,,,-0.8759640053967549,-124.58114165380825,-3.31785025973225,-3.20233252594859,20.829030565863846,-33.52005098736405,"3.44","1.65",151,"88.2",70,"85.3",2733,"5.7",718471,664285,455117,547989,643289,608324,665161,667452,676694,663656,"54.79",,,,,,,,59,1,"Cutter",3,4,3,4,4,3,3,4,"Strategic","Standard",278,"0","-0.043"
"SI","2023-04-22","95.5","0.56","6.29","Valdez, Framber",642201,664285,"strikeout","called_strike",,,,,13,"Eli White called out on strikes.","R","R","L","ATL","HOU","S",2,,2,2,2023,"1.37","0.65","-0.86","1.84",,,,1,7,"Bot",,,,,455117,,,-6.78787701544939,-138.74339819998815,-7.528771175482171,19.21994433093732,30.108484541290906,-22.220661408196925,"3.59","1.7",,,,"95.1",2261,"6.1",718471,664285,455117,547989,643289,608324,665161,667452,676694,663656,"54.44",,,"0",1,0,0,,57,5,"Sinker",3,4,3,4,4,3,3,4,"Standard","Standard",164,"-0.035","-0.159"
"FC","2023-04-22","82.6","1.02","6.22","Valdez, Framber",642201,664285,,"ball",,,,,14,"Eli White called out on strikes.","R","R","L","ATL","HOU","B",,,0,0,2023,"-0.31","-0.19","1.18","1.89",,,,1,7,"Bot",,,,,455117,,,0.9651295406440524,-120.31155822450582,-3.0334537023957413,-3.2001706071035176,21.716326788335888,-33.63428577244295,"3.59","1.7",,,,"82.1",2681,"5.7",718471,664285,455117,547989,643289,608324,665161,667452,676694,663656,"54.79",,,,,,,,57,1,"Cutter",3,4,3,4,4,3,3,4,"Standard","Standard",309,"0","0.033"
"SI","2023-04-22","96.8","0.38","6.27","Valdez, Framber",607680,664285,,"called_strike",,,,,7,"Kevin Pillar strikes out swinging.","R","R","L","ATL","HOU","S",,,0,1,2023,"1.36","0.68","-0.67","1.58",,,687093,2,6,"Bot",,,,,455117,,,-5.880028753247406,-140.54718664919488,-8.413160153533672,19.378022509030753,35.44715397741258,-21.286915393948863,"3.3","1.6",,,,"96.1",2248,"6.3",718471,664285,455117,547989,643289,608324,665161,667452,676694,663656,"54.24",,,,,,,,52,2,"Sinker",3,4,3,4,4,3,3,4,"Strategic","Standard",147,"0","-0.038"
"SI","2023-04-22","97.1","0.51","6.3","Valdez, Framber",645277,664285,"home_run","hit_into_play",,,,,5,"Ozzie Albies homers (5) on a fly ball to left center field.   Matt Olson scores.","R","R","L","ATL","HOU","X",,"fly_ball",2,2,2023,"1.3","0.85","0.21","2.69",,,621566,2,6,"Bot",79.52,34.78,,,455117,,,-3.807294679142301,-141.3579526940988,-6.1053979769684785,18.24351455121125,32.131721775783916,-19.533780257464517,"3.24","1.61",421,"102.5",31,"97.4",2329,"6.4",718471,664285,455117,547989,643289,608324,665161,667452,676694,663656,"54.07",0.671,1.28,"2",1,0,3,6,50,5,"Sinker",1,4,1,4,4,3,3,4,"Standard","Standard",146,"0.197","1.917"
"SI","2023-04-22","96.6","0.39","6.32","Valdez, Framber",645277,664285,,"foul",,,,,5,"Ozzie Albies homers (5) on a fly ball to left center field.   Matt Olson scores.","R","R","L","ATL","HOU","S",,,2,1,2023,"1.27","1.02","0.24","2.12",,,621566,2,6,"Bot",,,,,455117,,,-3.2777345536617304,-140.4508165378476,-7.90834597080561,17.565758050357925,31.49537767790301,-17.046515215296363,"3.24","1.61",203,"82",60,"96",2283,"6",718471,664285,455117,547989,643289,608324,665161,667452,676694,663656,"54.55",,,,,,,,50,4,"Sinker",1,4,1,4,4,1,1,4,"Standard","Standard",59,"0","-0.072"
"SI","2023-04-22","97.4","0.42","6.4","Valdez, Framber",645277,664285,,"swinging_strike",,,,,3,"Ozzie Albies homers (5) on a fly ball to left center field.   Matt Olson scores.","R","R","L","ATL","HOU","S",,,2,0,2023,"1.41","0.93","0.56","3.1",,,621566,2,6,"Bot",,,,,455117,,,-2.804549876643606,-141.74366558103998,-5.425241699800773,19.653697113099774,31.998088908411244,-18.626231594584418,"3.24","1.61",,,,"96.4",2244,"5.7",718471,664285,455117,547989,643289,608324,665161,667452,676694,663656,"54.82",,,,,,,,50,3,"Sinker",1,4,1,4,4,1,1,4,"Standard","Standard",149,"0","-0.016"
"SI","2023-04-22","97.3","0.18","6.29","Valdez, Framber",669221,664285,"strikeout","swinging_strike",,,,,12,"Sean Murphy strikes out swinging.","R","R","L","ATL","HOU","S",2,,2,2,2023,"1.08","0.78","1.28","2.77",,,621566,1,6,"Bot",,,,,455117,,,0.46178563763754077,-141.64794855244722,-5.655568429137499,14.452052339853246,32.93892679523459,-20.57801365409568,"3.41","1.67",,,,"96.4",2345,"5.8",718471,664285,455117,547989,643289,608324,665161,667452,676694,663656,"54.72",,,"0",1,0,0,,49,6,"Sinker",1,4,1,4,4,1,1,4,"Standard","Standard",149,"-0.033","-0.304"
"SI","2023-04-22","97.6","0.36","6.35","Valdez, Framber",669221,664285,,"called_strike",,,,,8,"Sean Murphy strikes out swinging.","R","R","L","ATL","HOU","S",,,2,1,2023,"1.35","0.82","0.2","1.81",,,621566,1,6,"Bot",,,,,455117,,,-3.5319216002008686,-141.82826838447542,-8.47743451263419,18.887809149159626,37.61282140649011,-19.22193522265186,"3.41","1.67",,,,"96.6",2312,"6.1",718471,664285,455117,547989,643289,608324,665161,667452,676694,663656,"54.37",,,,,,,,49,4,"Sinker",1,4,1,4,4,1,1,4,"Strategic","Standard",145,"0","-0.056"
"SI","2023-04-22","95.4","0.34","6.26","Valdez, Framber",669221,664285,,"called_strike",,,,,7,"Sean Murphy strikes out swinging.","R","R","L","ATL","HOU","S",,,0,0,2023,"1.09","0.89","-0.81","1.77",,,621566,1,6,"Bot",,,,,455117,,,-5.55871299703186,-138.69506895500032,-8.236996589239267,15.297206285100758,32.14137725907381,-19.038176595554344,"3.41","1.67",,,,"96.4",2153,"7",718471,664285,455117,547989,643289,608324,665161,667452,676694,663656,"53.52",,,,,,,,49,1,"Sinker",1,4,1,4,4,1,1,4,"Standard","Standard",147,"0","-0.053"
"SI","2023-04-22","95.9","0.49","6.33","Valdez, Framber",663586,664285,"field_out","hit_into_play",,,,,8,"Austin Riley lines out sharply to right fielder Kyle Tucker.","R","R","L","ATL","HOU","X",9,"line_drive",2,0,2023,"1.32","0.77","0.17","1.9",,,621566,0,6,"Bot",182.78,80.4,,,455117,,,-3.803398832629473,-139.48922998037662,-7.727361953984505,18.15202153613262,31.721065774217767,-20.61970146582378,"3.51","1.69",326,"107.6",16,"94.6",2304,"5.6",718471,664285,455117,547989,643289,608324,665161,667452,676694,663656,"54.91",0.631,0.735,"0",1,0,0,6,48,3,"Sinker",1,4,1,4,4,1,1,4,"Standard","Standard",146,"-0.042","-0.472"
"SI","2023-04-22","96.2","0.26","6.39","Valdez, Framber",663586,664285,,"ball",,,,,13,"Austin Riley lines out sharply to right fielder Kyle Tucker.","R","R","L","ATL","HOU","B",,,1,0,2023,"1.31","1.02","-0.9","2.52",,,621566,0,6,"Bot",,,,,455117,,,-6.008668092378295,-139.81351069184774,-6.959089477817091,18.56459576920364,31.59772609323548,-17.39265674133172,"3.51","1.69",,,,"95.8",2232,"6.1",718471,664285,455117,547989,643289,608324,665161,667452,676694,663656,"54.38",,,,,,,,48,2,"Sinker",1,4,1,4,4,1,1,4,"Standard","Standard",148,"0","0.086"
"SI","2023-04-22","96.7","0.38","6.29","Valdez, Framber",663586,664285,,"ball",,,,,6,"Austin Riley lines out sharply to right fielder Kyle Tucker.","R","R","L","ATL","HOU","B",,,0,0,2023,"1.34","0.88","0.79","2.38",,,621566,0,6,"Bot",,,,,455117,,,-1.9990440285957507,-140.69028590538383,-6.938334827654804,18.249062900835977,31.84568018659314,-19.163774035722025,"3.51","1.69",,,,"97.6",2215,"6.8",718471,664285,455117,547989,643289,608324,665161,667452,676694,663656,"53.71",,,,,,,,48,1,"Sinker",1,4,1,4,4,1,1,4,"Standard","Standard",141,"0","0.035"
"SI","2023-04-22","95.9","0.45","6.36","Valdez, Framber",621566,664285,"single","hit_into_play",,,,,9,"Matt Olson singles on a ground ball to left fielder Corey Julks.","R","L","L","ATL","HOU","X",7,"ground_ball",0,1,2023,"1.3","0.83","0.6","1.98",,,,0,6,"Bot",91.04,101.82,,,455117,,,-2.4969243649345696,-139.47944939376703,-7.794517201794167,17.552091648856685,30.419282432825742,-19.82721435100669,"3.44","1.65",62,"104.6",2,"94.9",2169,"5.7",718471,664285,455117,547989,643289,608324,665161,667452,676694,663656,"54.82",0.506,0.477,"0.9",1,1,0,4,47,2,"Sinker",1,4,1,4,4,1,1,4,"Standard","Standard",144,"0.046","0.432"
"SI","2023-04-22","94.4","0.49","6.33","Valdez, Framber",621566,664285,,"called_strike",,,,,4,"Matt Olson singles on a ground ball to left fielder Corey Julks.","R","L","L","ATL","HOU","S",,,0,0,2023,"1.34","0.67","-0.38","2.7",,,,0,6,"Bot",,,,,455117,,,-5.2456653685088,-137.2655312765581,-5.220640324938481,18.12608330748897,30.83176082755264,-22.7512927666959,"3.44","1.65",,,,"94.1",2111,"6.2",718471,664285,455117,547989,643289,608324,665161,667452,676694,663656,"54.33",,,,,,,,47,1,"Sinker",1,4,1,4,4,1,1,4,"Standard","Standard",149,"0","-0.04"
"SI","2023-04-22","96.8","0.45","6.28","Valdez, Framber",660670,664285,"field_out","hit_into_play",,,,,4,"Ronald Acuna Jr.  flies out sharply to right fielder Kyle Tucker.","R","R","L","ATL","HOU","X",9,"fly_ball",0,0,2023,"1.46","0.72","-0.37","2.34",,,,2,5,"Bot",181.59,60.89,,,455117,,,-5.484073035530409,-140.71803553807965,-6.46930277783218,20.65096885161943,34.9157171188482,-21.306191608273277,"3.52","1.64",368,"105.4",25,"95.4",2255,"5.8",718471,664285,455117,547989,643289,608324,665161,667452,676694,663656,"54.75",0.934,1.775,"0",1,0,0,6,38,1,"Sinker",1,0,1,0,0,1,1,0,"Standard","Standard",149,"-0.01","-0.097"
"SI","2023-04-22","93.7","0.64","6.26","Valdez, Framber",642201,664285,"field_out","hit_into_play",,,,,8,"Eli White lines out sharply to shortstop Jeremy Pena.","R","R","L","ATL","HOU","X",6,"line_drive",2,0,2023,"1.39","0.85","-0.05","1.92",,,,1,5,"Bot",102.91,136.6,,,455117,,,-4.832202853948857,-136.18852471160412,-7.305156543332163,18.37684647575179,31.05117660063122,-20.182315711039948,"3.59","1.7",170,"106.7",10,"93.4",2163,"6.2",718471,664285,455117,547989,643289,608324,665161,667452,676694,663656,"54.26",0.831,0.858,"0",1,0,0,4,37,3,"Sinker",1,0,1,0,0,1,1,0,"Standard","Standard",149,"-0.015","-0.251"
"SI","2023-04-22","95.7","0.59","6.34","Valdez, Framber",542303,664285,"field_out","hit_into_play",,,,,2,"Marcell Ozuna grounds out, shortstop Jeremy Pena to first baseman Jose Abreu.","R","R","L","ATL","HOU","X",6,"ground_ball",0,1,2023,"1.16","0.82","-0.15","2.97",,,,0,5,"Bot",113.81,153.69,,,455117,,,-4.5516948146655185,-139.3443902888714,-5.162232430141461,16.15830651497015,28.518321225104767,-20.536777144900523,"3.5","1.74",8,"93.7",-19,"95.4",2208,"5.9",718471,664285,455117,547989,643289,608324,665161,667452,676694,663656,"54.61",0.1,0.09,"0",1,0,0,2,36,2,"Sinker",1,0,1,0,0,1,1,0,"Standard","Standard",152,"-0.021","-0.198"
